epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2743.17,1.30341,1.02336,1.37301,0.86172,0.81253,0.88628,0.55185,1.28508,0.80147,1.43839,0.005842,0.005842,0.005842
44,2808.46,1.31946,1.03112,1.38163,0.89679,0.78984,0.87401,0.54365,1.27223,0.83183,1.42484,0.005743,0.005743,0.005743
45,2869.35,1.32351,1.03131,1.38768,0.88864,0.80272,0.87936,0.55362,1.25196,0.8038,1.42664,0.005644,0.005644,0.005644
46,2924.84,1.30411,1.02179,1.37627,0.86739,0.80384,0.88025,0.54813,1.25798,0.81323,1.41325,0.005545,0.005545,0.005545
47,2989.43,1.29913,1.01658,1.36322,0.87214,0.78762,0.86699,0.54352,1.27752,0.84202,1.41348,0.005446,0.005446,0.005446
48,3055.23,1.29882,0.99998,1.36905,0.88742,0.79819,0.87699,0.55324,1.27762,0.81974,1.41599,0.005347,0.005347,0.005347
49,3122.72,1.2842,0.98959,1.36159,0.86338,0.81609,0.87426,0.55219,1.26295,0.79317,1.41515,0.005248,0.005248,0.005248
50,3192.85,1.29065,0.98756,1.35537,0.85168,0.81733,0.88636,0.56055,1.25931,0.78758,1.40325,0.005149,0.005149,0.005149
51,3263.43,1.28348,0.97811,1.36214,0.91169,0.78993,0.88551,0.55636,1.25486,0.80162,1.40506,0.00505,0.00505,0.00505
52,3332.96,1.27703,0.98112,1.36107,0.89789,0.80083,0.88747,0.56143,1.23067,0.77477,1.38437,0.004951,0.004951,0.004951
53,3403.38,1.27048,0.96262,1.35058,0.92633,0.79322,0.89567,0.56112,1.25113,0.76461,1.3992,0.004852,0.004852,0.004852
54,3474.08,1.27707,0.9727,1.35347,0.87403,0.82353,0.89364,0.56513,1.24567,0.76259,1.39874,0.004753,0.004753,0.004753
55,3544.9,1.27144,0.94453,1.34237,0.88215,0.82455,0.88792,0.55975,1.25179,0.77037,1.40468,0.004654,0.004654,0.004654
56,3616.61,1.25769,0.93907,1.34371,0.89642,0.81478,0.89434,0.56268,1.24493,0.77619,1.39011,0.004555,0.004555,0.004555
57,3688.67,1.25758,0.95064,1.33376,0.91411,0.79751,0.89174,0.56773,1.24098,0.76799,1.39227,0.004456,0.004456,0.004456
58,3760.35,1.25655,0.93629,1.33327,0.88456,0.81827,0.89729,0.57154,1.2358,0.75471,1.38081,0.004357,0.004357,0.004357
59,4071.08,1.24258,0.91861,1.31977,0.89019,0.81804,0.90063,0.56509,1.2476,0.75414,1.39181,0.004258,0.004258,0.004258
60,4139.93,1.25452,0.92821,1.32691,0.9034,0.81559,0.90137,0.56681,1.23954,0.74503,1.39031,0.004159,0.004159,0.004159
61,4209.89,1.24001,0.92125,1.32493,0.90759,0.81948,0.9054,0.56959,1.24443,0.7469,1.38976,0.00406,0.00406,0.00406
62,4279.64,1.23959,0.91224,1.31896,0.90318,0.81226,0.89841,0.5676,1.25009,0.7351,1.3901,0.003961,0.003961,0.003961
63,4350.07,1.24168,0.91674,1.31431,0.89882,0.8297,0.89893,0.57248,1.24006,0.73674,1.38373,0.003862,0.003862,0.003862
64,4419.51,1.23087,0.89994,1.32071,0.92122,0.82779,0.9036,0.57711,1.22979,0.73442,1.37401,0.003763,0.003763,0.003763
65,4489.97,1.22711,0.89817,1.30663,0.92807,0.81865,0.90308,0.57784,1.22956,0.7325,1.37762,0.003664,0.003664,0.003664
66,4563.02,1.21052,0.89629,1.30394,0.90327,0.82455,0.9019,0.5745,1.23348,0.74015,1.37546,0.003565,0.003565,0.003565
67,4862.15,1.21579,0.88549,1.29964,0.90397,0.81882,0.90258,0.57441,1.23318,0.73364,1.37479,0.003466,0.003466,0.003466
68,5021.28,1.19246,0.85631,1.28684,0.89857,0.82971,0.90166,0.57583,1.22486,0.73815,1.36915,0.003367,0.003367,0.003367
69,5080.65,1.19907,0.86574,1.30001,0.9013,0.83229,0.90261,0.57782,1.21696,0.72638,1.36785,0.003268,0.003268,0.003268
70,5139.32,1.19705,0.87018,1.28935,0.89377,0.83375,0.8995,0.57878,1.21746,0.72448,1.36518,0.003169,0.003169,0.003169
71,5197.46,1.17917,0.84947,1.27255,0.90029,0.84329,0.906,0.58371,1.21062,0.71923,1.35176,0.00307,0.00307,0.00307
72,5255.88,1.19714,0.85696,1.28711,0.91139,0.82681,0.90287,0.58286,1.2124,0.72452,1.35411,0.002971,0.002971,0.002971
73,5314.41,1.18198,0.84311,1.278,0.91185,0.81865,0.90297,0.58525,1.21272,0.7242,1.35968,0.002872,0.002872,0.002872
74,5373.86,1.18196,0.83085,1.27915,0.92257,0.81575,0.90576,0.58328,1.22562,0.71439,1.36499,0.002773,0.002773,0.002773
75,5431.55,1.18364,0.8335,1.28509,0.90329,0.83621,0.90646,0.58251,1.22008,0.71364,1.36425,0.002674,0.002674,0.002674
76,5488.16,1.18113,0.82869,1.27477,0.91878,0.83524,0.90676,0.58513,1.22191,0.71059,1.36437,0.002575,0.002575,0.002575
77,5543.82,1.16458,0.82839,1.26094,0.91566,0.83458,0.91109,0.58054,1.21742,0.7123,1.35985,0.002476,0.002476,0.002476
78,5599.78,1.15858,0.80732,1.25824,0.9188,0.84161,0.9111,0.58474,1.21594,0.71038,1.362,0.002377,0.002377,0.002377
79,5655.85,1.1468,0.79741,1.25492,0.92811,0.82928,0.90912,0.58427,1.21973,0.71208,1.36172,0.002278,0.002278,0.002278
80,5711.22,1.14562,0.79522,1.25695,0.93358,0.82799,0.90889,0.58255,1.21777,0.70826,1.36175,0.002179,0.002179,0.002179
81,5767.15,1.14464,0.78425,1.25351,0.93539,0.82546,0.91079,0.58457,1.21439,0.70001,1.35967,0.00208,0.00208,0.00208
82,5823.13,1.13206,0.79474,1.24845,0.92559,0.83601,0.90893,0.5834,1.21898,0.70476,1.36425,0.001981,0.001981,0.001981
83,5878.76,1.13035,0.7766,1.23969,0.92597,0.82123,0.90512,0.58149,1.22117,0.70493,1.36388,0.001882,0.001882,0.001882
84,5935.12,1.11882,0.77659,1.23566,0.92164,0.82345,0.90684,0.58661,1.22607,0.70799,1.36352,0.001783,0.001783,0.001783
85,5990.68,1.12206,0.77603,1.23839,0.9362,0.82606,0.90819,0.58323,1.22624,0.70677,1.36359,0.001684,0.001684,0.001684
86,6046.23,1.11388,0.76083,1.23474,0.90494,0.83962,0.90828,0.5835,1.22343,0.71148,1.36181,0.001585,0.001585,0.001585
87,6101.52,1.11331,0.75385,1.22606,0.91917,0.82517,0.90732,0.58439,1.22461,0.7119,1.36426,0.001486,0.001486,0.001486
88,6156.95,1.11547,0.76124,1.23455,0.90591,0.83682,0.90445,0.58377,1.22585,0.7076,1.36539,0.001387,0.001387,0.001387
89,6212.66,1.11036,0.76577,1.23369,0.93685,0.80926,0.90195,0.58405,1.22711,0.70791,1.36328,0.001288,0.001288,0.001288
90,6266.59,1.10195,0.75506,1.22797,0.91663,0.82014,0.90374,0.57929,1.2206,0.70525,1.35814,0.001189,0.001189,0.001189
91,6387.08,1.04015,0.64681,1.20745,0.90629,0.83617,0.90609,0.58446,1.21361,0.70809,1.35534,0.00109,0.00109,0.00109
92,6442.06,1.02787,0.62133,1.2014,0.90914,0.82841,0.90476,0.58413,1.21089,0.70765,1.35267,0.000991,0.000991,0.000991
93,6497.02,1.01334,0.60839,1.19488,0.90071,0.84461,0.90527,0.58693,1.20977,0.70371,1.35129,0.000892,0.000892,0.000892
94,6552.03,1.01445,0.61114,1.19507,0.90243,0.83988,0.90826,0.58921,1.21113,0.70338,1.35249,0.000793,0.000793,0.000793
95,6606.37,0.99052,0.59169,1.1746,0.90782,0.83422,0.90785,0.58772,1.20938,0.7079,1.35163,0.000694,0.000694,0.000694
96,6661.08,0.98327,0.59377,1.17317,0.92243,0.83015,0.91184,0.58804,1.2101,0.70219,1.3524,0.000595,0.000595,0.000595
97,6716.08,0.98288,0.58499,1.1794,0.91976,0.83397,0.9126,0.5893,1.21007,0.6999,1.35392,0.000496,0.000496,0.000496
98,6771.38,0.97963,0.57932,1.17128,0.91466,0.83497,0.91233,0.59085,1.21057,0.69967,1.35492,0.000397,0.000397,0.000397
99,6826.31,0.97344,0.57906,1.16488,0.9183,0.82909,0.91273,0.5904,1.21126,0.70128,1.35586,0.000298,0.000298,0.000298
100,6881.33,0.95817,0.56018,1.15581,0.91721,0.83501,0.91295,0.59128,1.20984,0.69995,1.35503,0.000199,0.000199,0.000199
